X,Y,ELEV,ELEVATION
645030.250,4474568.010,1444.969971,1444.97
645029.620,4474567.960,1444.819946,1444.82
645028.940,4474567.880,1444.670044,1444.67
645028.310,4474567.820,1444.660034,1444.66
645027.620,4474567.750,1444.770020,1444.77
645027.000,4474567.710,1444.680054,1444.68
645026.380,4474567.670,1444.709961,1444.71
645025.750,4474567.650,1444.689941,1444.69
645025.120,4474567.630,1444.689941,1444.69
645024.440,4474567.620,1444.630005,1444.63
645023.810,4474567.620,1444.660034,1444.66
645023.120,4474567.620,1444.709961,1444.71
645022.500,4474567.620,1444.709961,1444.71
645021.810,4474567.620,1444.479980,1444.48
645021.120,4474567.610,1444.510010,1444.51
645020.500,4474567.600,1444.630005,1444.63
645019.810,4474567.600,1444.719971,1444.72
645019.130,4474567.610,1444.719971,1444.72
645018.440,4474567.620,1444.660034,1444.66
645017.690,4474567.630,1444.689941,1444.69
645017.000,4474567.640,1444.750000,1444.75
645016.250,4474567.670,1444.780029,1444.78
645015.560,4474567.710,1444.800049,1444.8
645014.810,4474567.740,1444.800049,1444.8
645014.120,4474567.770,1444.729980,1444.73
645013.310,4474567.800,1444.510010,1444.51
645012.620,4474567.820,1444.689941,1444.69
645011.940,4474567.820,1444.660034,1444.66
645011.250,4474567.810,1444.630005,1444.63
645010.560,4474567.800,1444.760010,1444.76
